time	voltage
0.000000000000000e+00	0.000000e+00
1.497965671920351e-04	1.893386e-06
2.995931343840702e-04	3.879873e-06
4.493897015761054e-04	5.959459e-06
5.991862687681405e-04	8.132146e-06
7.489828359601756e-04	1.039793e-05
8.987794031522108e-04	1.275682e-05
1.048575970344245e-03	1.520881e-05
2.097151940688491e-03	5.048961e-05
4.050276940688491e-03	2.219187e-04
6.003401940688491e-03	7.168702e-04
7.737393188067203e-03	1.929663e-03
9.327216869903662e-03	4.723222e-03
1.096736789436359e-02	1.100002e-02
1.258024615680532e-02	2.284711e-02
1.452692025142069e-02	4.591893e-02
1.648004525142069e-02	7.774877e-02
1.843317025142069e-02	1.166738e-01
2.038629525142069e-02	1.605137e-01
2.233942025142069e-02	2.076842e-01
2.429254525142069e-02	2.571947e-01
2.819879525142069e-02	3.606966e-01
3.182602739427783e-02	4.611654e-01
3.545325953713498e-02	5.621604e-01
3.908049167999212e-02	6.636816e-01
4.270772382284926e-02	7.657289e-01
4.633495596570641e-02	8.683025e-01
4.996218810856355e-02	9.714022e-01
5.358942025142069e-02	1.075028e+00
6.307602739427784e-02	1.345023e+00
7.256263453713498e-02	1.606995e+00
8.204924167999213e-02	1.860944e+00
9.153584882284926e-02	2.106871e+00
1.010224559657064e-01	2.344775e+00
1.105090631085636e-01	2.574656e+00
1.199956702514207e-01	2.796515e+00
1.370157595371350e-01	3.167201e+00
1.540358488228493e-01	3.487803e+00
1.710559381085636e-01	3.758323e+00
1.880760273942779e-01	3.978759e+00
2.050961166799921e-01	4.149113e+00
2.221162059657064e-01	4.269383e+00
2.391362952514207e-01	4.339570e+00
2.578304916799921e-01	4.339162e+00
2.765246881085636e-01	4.275812e+00
2.952188845371350e-01	4.149520e+00
3.139130809657064e-01	3.960287e+00
3.326072773942779e-01	3.708111e+00
3.513014738228493e-01	3.392994e+00
3.699956702514207e-01	3.014935e+00
3.800403131085635e-01	2.792622e+00
3.900849559657064e-01	2.560228e+00
4.001295988228493e-01	2.317755e+00
4.101742416799921e-01	2.065202e+00
4.202188845371350e-01	1.802569e+00
4.302635273942778e-01	1.529856e+00
4.403081702514207e-01	1.247064e+00
4.444934381085635e-01	1.128295e+00
4.486787059657064e-01	1.009759e+00
4.528639738228493e-01	8.914532e-01
4.570492416799921e-01	7.733794e-01
4.612345095371350e-01	6.555371e-01
4.654197773942778e-01	5.379263e-01
4.696050452514207e-01	4.205470e-01
4.735112952514207e-01	3.147893e-01
4.754644202514207e-01	2.634702e-01
4.774175452514207e-01	2.137113e-01
4.793706702514207e-01	1.661456e-01
4.813237952514207e-01	1.217823e-01
4.832769202514207e-01	8.215255e-02
4.852300452514207e-01	4.933623e-02
4.871831702514207e-01	2.543929e-02
4.891362952514207e-01	1.068168e-02
4.907054869713234e-01	4.296209e-03
4.916183226785988e-01	2.423426e-03
4.925959550343559e-01	1.377752e-03
4.936947746380915e-01	7.146135e-04
4.947484237672250e-01	3.709553e-04
4.958690534040467e-01	1.830589e-04
4.970689996324338e-01	8.196708e-05
4.983594660689496e-01	3.100238e-05
5.000191803644308e-01	3.365874e-06
5.019723053644308e-01	-8.968364e-06
5.039254303644308e-01	-1.303305e-05
5.095057875072879e-01	-1.374345e-05
5.150861446501451e-01	-1.428661e-05
5.206665017930022e-01	-1.466253e-05
5.262468589358594e-01	-1.487120e-05
5.318272160787165e-01	-1.491263e-05
5.374075732215737e-01	-1.478682e-05
5.429879303644308e-01	-1.449376e-05
5.544276625072879e-01	-1.445902e-05
5.658673946501451e-01	-1.442712e-05
5.773071267930022e-01	-1.439807e-05
5.887468589358594e-01	-1.437186e-05
6.001865910787165e-01	-1.434849e-05
6.116263232215737e-01	-1.432796e-05
6.230660553644308e-01	-1.431027e-05
6.425973053644308e-01	-1.427890e-05
6.621285553644308e-01	-1.424800e-05
6.816598053644308e-01	-1.421755e-05
7.011910553644308e-01	-1.418757e-05
7.207223053644308e-01	-1.415805e-05
7.402535553644308e-01	-1.412899e-05
7.597848053644308e-01	-1.410039e-05
7.776419482215737e-01	-1.407416e-05
7.954990910787165e-01	-1.404728e-05
8.133562339358594e-01	-1.401972e-05
8.312133767930023e-01	-1.399150e-05
8.490705196501451e-01	-1.396262e-05
8.669276625072880e-01	-1.393307e-05
8.847848053644308e-01	-1.390286e-05
8.956665017930022e-01	-1.388518e-05
9.065481982215737e-01	-1.386436e-05
9.174298946501451e-01	-1.384042e-05
9.283115910787165e-01	-1.381335e-05
9.391932875072880e-01	-1.378315e-05
9.500749839358594e-01	-1.374982e-05
9.609566803644308e-01	-1.371336e-05
9.656999839358594e-01	-1.378503e-05
9.704432875072879e-01	-1.379339e-05
9.751865910787165e-01	-1.373845e-05
9.799298946501451e-01	-1.362019e-05
9.846731982215737e-01	-1.343863e-05
9.894165017930022e-01	-1.319377e-05
9.941598053644308e-01	-1.288559e-05
9.961129303644308e-01	-1.156430e-05
9.980660553644308e-01	-7.279471e-06
1.000019180364431e+00	6.778402e-06
1.001972305364431e+00	5.303439e-05
1.003925430364431e+00	2.047449e-04
1.005878555364431e+00	6.663227e-04
1.007627709971639e+00	1.813492e-03
1.009222355154149e+00	4.466365e-03
1.010869582310752e+00	1.048856e-02
1.012473934327161e+00	2.184848e-02
1.014389161365991e+00	4.396066e-02
1.016342286365991e+00	7.524396e-02
1.018295411365991e+00	1.137440e-01
1.020248536365991e+00	1.572943e-01
1.022201661365991e+00	2.042669e-01
1.024154786365991e+00	2.536404e-01
1.028061036365991e+00	3.569736e-01
1.031409250651705e+00	4.494795e-01
1.034757464937420e+00	5.425231e-01
1.038105679223134e+00	6.361043e-01
1.041453893508848e+00	7.302231e-01
1.044802107794562e+00	8.248796e-01
1.048150322080277e+00	9.200738e-01
1.051498536365991e+00	1.015806e+00
1.060706125651705e+00	1.278609e+00
1.069913714937420e+00	1.534227e+00
1.079121304223134e+00	1.782659e+00
1.088328893508848e+00	2.023905e+00
1.097536482794562e+00	2.257965e+00
1.106744072080277e+00	2.484840e+00
1.115951661365991e+00	2.704529e+00
1.132413714937420e+00	3.072729e+00
1.148875768508848e+00	3.394961e+00
1.165337822080277e+00	3.671224e+00
1.181799875651705e+00	3.901519e+00
1.198261929223134e+00	4.085845e+00
1.214723982794562e+00	4.224203e+00
1.231186036365991e+00	4.316593e+00
1.250438268508848e+00	4.345444e+00
1.269690500651705e+00	4.306711e+00
1.288942732794562e+00	4.200395e+00
1.308194964937420e+00	4.026495e+00
1.327447197080277e+00	3.785011e+00
1.346699429223134e+00	3.475944e+00
1.365951661365991e+00	3.099293e+00
1.376275322080277e+00	2.876220e+00
1.386598982794562e+00	2.642093e+00
1.396922643508848e+00	2.396913e+00
1.407246304223134e+00	2.140680e+00
1.417569964937420e+00	1.873394e+00
1.427893625651705e+00	1.595055e+00
1.438217286365991e+00	1.305662e+00
1.442681572080277e+00	1.179283e+00
1.447145857794562e+00	1.053063e+00
1.451610143508848e+00	9.270006e-01
1.456074429223134e+00	8.010963e-01
1.460538714937420e+00	6.753503e-01
1.465003000651705e+00	5.497623e-01
1.469467286365991e+00	4.243325e-01
1.473373536365991e+00	3.184559e-01
1.475326661365991e+00	2.670446e-01
1.477279786365991e+00	2.171580e-01
1.479232911365991e+00	1.694106e-01
1.481186036365991e+00	1.247803e-01
1.483139161365991e+00	8.475425e-02
1.485092286365991e+00	5.137926e-02
1.487045411365991e+00	2.680615e-02
1.488998536365991e+00	1.152359e-02
1.490697267819543e+00	4.358178e-03
1.491599082617127e+00	2.447283e-03
1.492569338893939e+00	1.398913e-03
1.493669718504435e+00	7.258359e-04
1.494723659314564e+00	3.767474e-04
1.495842126388001e+00	1.862473e-04
1.497040037224740e+00	8.365223e-05
1.498328400656856e+00	3.162773e-05
1.499919419475574e+00	4.241179e-06
1.501872544475574e+00	-8.599841e-06
1.503825669475574e+00	-1.292293e-05
1.508568973047002e+00	-1.368650e-05
1.513312276618431e+00	-1.427148e-05
1.518055580189859e+00	-1.467786e-05
1.522798883761288e+00	-1.490565e-05
1.527542187332716e+00	-1.495485e-05
1.532285490904145e+00	-1.482546e-05
1.537028794475574e+00	-1.451747e-05
1.547910490904145e+00	-1.448025e-05
1.558792187332716e+00	-1.444639e-05
1.569673883761288e+00	-1.441587e-05
1.580555580189859e+00	-1.438871e-05
1.591437276618431e+00	-1.436489e-05
1.602318973047002e+00	-1.434442e-05
1.613200669475574e+00	-1.432729e-05
1.631057812332716e+00	-1.429772e-05
1.648914955189859e+00	-1.426874e-05
1.666772098047002e+00	-1.424034e-05
1.684629240904145e+00	-1.421252e-05
1.702486383761288e+00	-1.418530e-05
1.720343526618431e+00	-1.415865e-05
1.738200669475574e+00	-1.413260e-05
1.757731919475574e+00	-1.410397e-05
1.777263169475574e+00	-1.407478e-05
1.796794419475574e+00	-1.404501e-05
1.816325669475574e+00	-1.401466e-05
1.835856919475574e+00	-1.398375e-05
1.855388169475574e+00	-1.395226e-05
1.874919419475574e+00	-1.392021e-05
1.884127008761288e+00	-1.390477e-05
1.893334598047002e+00	-1.388806e-05
1.902542187332716e+00	-1.387008e-05
1.911749776618431e+00	-1.385083e-05
1.920957365904145e+00	-1.383032e-05
1.930164955189859e+00	-1.380853e-05
1.939372544475574e+00	-1.378548e-05
1.941325669475574e+00	-1.377999e-05
1.948580133761288e+00	-1.379225e-05
1.955834598047002e+00	-1.377844e-05
1.963089062332716e+00	-1.373854e-05
1.970343526618431e+00	-1.367258e-05
1.977597990904145e+00	-1.358053e-05
1.984852455189859e+00	-1.346241e-05
1.992106919475574e+00	-1.331821e-05
1.996013169475574e+00	-1.167537e-05
1.997966294475574e+00	-7.642016e-06
1.999919419475574e+00	3.183310e-07
2.000000000000000e+00	1.768545e-06
