time	voltage
0.000000000000000e+00	0.000000e+00
4.484860991526929e-03	0.000000e+00
8.969721983053857e-03	0.000000e+00
1.345458297458079e-02	0.000000e+00
1.793944396610771e-02	0.000000e+00
2.242430495763464e-02	0.000000e+00
2.690916594916157e-02	0.000000e+00
3.139402694068849e-02	0.000000e+00
3.474224122640278e-02	-5.169791e-08
3.809045551211707e-02	-6.203749e-08
4.143866979783135e-02	-3.101874e-08
4.478688408354564e-02	4.135832e-08
4.813509836925993e-02	1.550937e-07
5.148331265497421e-02	3.101874e-07
5.483152694068849e-02	5.066395e-07
5.873777694068849e-02	1.192093e-06
6.069090194068849e-02	1.877546e-06
6.264402694068849e-02	2.920628e-06
6.459715194068849e-02	4.470348e-06
6.655027694068849e-02	6.884336e-06
6.850340194068849e-02	1.063943e-05
7.045652694068849e-02	1.627207e-05
7.240965194068849e-02	2.497435e-05
7.436277694068849e-02	3.814697e-05
7.631590194068849e-02	5.814433e-05
7.826902694068849e-02	8.836389e-05
8.022215194068849e-02	1.338720e-04
8.217527694068849e-02	2.021194e-04
8.412840194068849e-02	3.040433e-04
8.608152694068849e-02	4.556775e-04
8.803465194068849e-02	6.796718e-04
8.998777694068849e-02	1.008630e-03
9.194090194068849e-02	1.487434e-03
9.389402694068849e-02	2.177238e-03
9.584715194068849e-02	3.157914e-03
9.780027694068849e-02	4.529178e-03
9.975340194068849e-02	6.408632e-03
1.017065269406885e-01	8.923709e-03
1.036596519406885e-01	1.219940e-02
1.056127769406885e-01	1.634169e-02
1.075659019406885e-01	2.142209e-02
1.095190269406885e-01	2.746886e-02
1.114721519406885e-01	3.446549e-02
1.134252769406885e-01	4.235828e-02
1.153784019406885e-01	5.106723e-02
1.173315269406885e-01	6.049865e-02
1.192846519406885e-01	7.055449e-02
1.212377769406885e-01	8.113962e-02
1.251440269406885e-01	1.035539e-01
1.310034019406885e-01	1.392257e-01
1.346306340835456e-01	1.623262e-01
1.382578662264028e-01	1.852539e-01
1.418850983692599e-01	2.080087e-01
1.455123305121171e-01	2.305908e-01
1.491395626549742e-01	2.530000e-01
1.527667947978313e-01	2.752364e-01
1.563940269406885e-01	2.973000e-01
1.650435805121171e-01	3.479487e-01
1.736931340835456e-01	3.941186e-01
1.823426876549742e-01	4.358096e-01
1.909922412264028e-01	4.730217e-01
1.996417947978314e-01	5.057549e-01
2.082913483692599e-01	5.340093e-01
2.169409019406885e-01	5.577849e-01
2.317288483692599e-01	5.845990e-01
2.465167947978314e-01	5.960270e-01
2.613047412264028e-01	5.920690e-01
2.760926876549742e-01	5.727249e-01
