time	voltage
0.000000000000000e+00	0.000000e+00
4.484860991526929e-03	5.646199e-02
8.969721983053857e-03	1.127679e-01
1.345458297458079e-02	1.689176e-01
1.793944396610771e-02	2.249113e-01
2.242430495763464e-02	2.807488e-01
2.690916594916157e-02	3.364303e-01
3.139402694068849e-02	3.919556e-01
3.474224122640278e-02	4.331698e-01
3.809045551211707e-02	4.741472e-01
4.143866979783135e-02	5.148880e-01
4.478688408354564e-02	5.553919e-01
4.813509836925993e-02	5.956592e-01
5.148331265497421e-02	6.356897e-01
5.483152694068849e-02	6.754835e-01
5.873777694068849e-02	7.214784e-01
6.069090194068849e-02	7.443146e-01
6.264402694068849e-02	7.670387e-01
6.459715194068849e-02	7.896473e-01
6.655027694068849e-02	8.121369e-01
6.850340194068849e-02	8.345043e-01
7.045652694068849e-02	8.567460e-01
7.240965194068849e-02	8.788586e-01
7.436277694068849e-02	9.008389e-01
7.631590194068849e-02	9.226836e-01
7.826902694068849e-02	9.443893e-01
8.022215194068849e-02	9.659528e-01
8.217527694068849e-02	9.873707e-01
8.412840194068849e-02	1.008640e+00
8.608152694068849e-02	1.029757e+00
8.803465194068849e-02	1.050720e+00
8.998777694068849e-02	1.071524e+00
9.194090194068849e-02	1.092167e+00
9.389402694068849e-02	1.112645e+00
9.584715194068849e-02	1.132956e+00
9.780027694068849e-02	1.153096e+00
9.975340194068849e-02	1.173062e+00
1.017065269406885e-01	1.192852e+00
1.036596519406885e-01	1.212462e+00
1.056127769406885e-01	1.231889e+00
1.075659019406885e-01	1.251132e+00
1.095190269406885e-01	1.270185e+00
1.114721519406885e-01	1.289047e+00
1.134252769406885e-01	1.307716e+00
1.153784019406885e-01	1.326187e+00
1.173315269406885e-01	1.344458e+00
1.192846519406885e-01	1.362527e+00
1.212377769406885e-01	1.380391e+00
1.231909019406885e-01	1.398047e+00
1.251440269406885e-01	1.415493e+00
1.270971519406885e-01	1.432725e+00
1.290502769406885e-01	1.449742e+00
1.310034019406885e-01	1.466540e+00
1.329565269406885e-01	1.483117e+00
1.349096519406885e-01	1.499471e+00
1.368627769406885e-01	1.515599e+00
1.388159019406885e-01	1.531499e+00
1.407690269406885e-01	1.547168e+00
1.427221519406885e-01	1.562605e+00
1.446752769406885e-01	1.577806e+00
1.485815269406885e-01	1.607493e+00
1.544409019406885e-01	1.650202e+00
1.575100983692599e-01	1.671703e+00
1.605792947978313e-01	1.692564e+00
1.636484912264028e-01	1.712784e+00
1.667176876549742e-01	1.732364e+00
1.697868840835456e-01	1.751303e+00
1.728560805121171e-01	1.769603e+00
1.759252769406885e-01	1.787262e+00
1.829007233692599e-01	1.825010e+00
1.898761697978313e-01	1.859110e+00
1.968516162264028e-01	1.889562e+00
2.038270626549742e-01	1.916366e+00
2.108025090835456e-01	1.939522e+00
2.177779555121171e-01	1.959030e+00
2.247534019406885e-01	1.974890e+00
2.364721519406885e-01	1.992649e+00
2.481909019406885e-01	1.999686e+00
2.599096519406885e-01	1.996002e+00
2.716284019406885e-01	1.981596e+00
2.833471519406885e-01	1.956468e+00
2.950659019406885e-01	1.920618e+00
3.067846519406885e-01	1.874047e+00
3.112489376549742e-01	1.853671e+00
3.157132233692599e-01	1.831883e+00
3.201775090835456e-01	1.808683e+00
3.246417947978313e-01	1.784071e+00
3.291060805121171e-01	1.758046e+00
3.335703662264028e-01	1.730609e+00
3.380346519406885e-01	1.701760e+00
3.402667947978313e-01	1.686849e+00
3.424989376549742e-01	1.671614e+00
3.447310805121170e-01	1.656055e+00
3.469632233692599e-01	1.640172e+00
3.491953662264028e-01	1.623964e+00
3.514275090835456e-01	1.607433e+00
3.536596519406885e-01	1.590577e+00
3.556127769406885e-01	1.575579e+00
3.575659019406885e-01	1.560343e+00
3.595190269406885e-01	1.544872e+00
3.614721519406885e-01	1.529169e+00
3.634252769406885e-01	1.513235e+00
3.653784019406885e-01	1.497073e+00
3.673315269406885e-01	1.480686e+00
3.692846519406885e-01	1.464076e+00
3.712377769406885e-01	1.447246e+00
3.731909019406885e-01	1.430197e+00
3.751440269406885e-01	1.412933e+00
3.770971519406885e-01	1.395457e+00
3.790502769406885e-01	1.377770e+00
3.810034019406885e-01	1.359875e+00
3.829565269406885e-01	1.341776e+00
3.849096519406885e-01	1.323475e+00
3.868627769406885e-01	1.304975e+00
3.888159019406885e-01	1.286278e+00
3.907690269406885e-01	1.267387e+00
3.927221519406885e-01	1.248305e+00
3.946752769406885e-01	1.229036e+00
3.966284019406885e-01	1.209581e+00
3.985815269406885e-01	1.189944e+00
4.005346519406885e-01	1.170128e+00
4.024877769406885e-01	1.150136e+00
4.044409019406885e-01	1.129971e+00
4.063940269406885e-01	1.109635e+00
4.083471519406885e-01	1.089132e+00
4.103002769406885e-01	1.068466e+00
4.122534019406885e-01	1.047638e+00
4.142065269406885e-01	1.026653e+00
4.161596519406885e-01	1.005513e+00
4.181127769406885e-01	9.842212e-01
4.200659019406885e-01	9.627815e-01
4.220190269406885e-01	9.411969e-01
4.239721519406885e-01	9.194705e-01
4.259252769406885e-01	8.976057e-01
4.278784019406885e-01	8.756056e-01
4.298315269406885e-01	8.534737e-01
4.317846519406885e-01	8.312133e-01
4.337377769406885e-01	8.088277e-01
4.356909019406885e-01	7.863203e-01
4.376440269406885e-01	7.636944e-01
4.395971519406885e-01	7.409536e-01
4.415502769406885e-01	7.181011e-01
4.454565269406885e-01	6.720753e-01
4.493627769406885e-01	6.255734e-01
4.532690269406885e-01	5.787657e-01
4.571752769406885e-01	5.316522e-01
4.610815269406885e-01	4.842330e-01
4.649877769406885e-01	4.365079e-01
4.688940269406885e-01	3.884770e-01
4.728002769406885e-01	3.401404e-01
4.767065269406885e-01	2.915970e-01
4.806127769406885e-01	2.429514e-01
4.845190269406885e-01	1.942035e-01
4.884252769406885e-01	1.453535e-01
4.923315269406885e-01	9.640123e-02
4.962377769406885e-01	4.734677e-02
5.001440269406885e-01	-1.809896e-03
5.048873305121171e-01	-6.153806e-02
5.096306340835456e-01	-1.210798e-01
5.143739376549742e-01	-1.804353e-01
5.191172412264028e-01	-2.396043e-01
5.238605447978314e-01	-2.985870e-01
5.286038483692599e-01	-3.573833e-01
5.333471519406885e-01	-4.159932e-01
5.364163483692599e-01	-4.536733e-01
5.394855447978314e-01	-4.911500e-01
5.425547412264028e-01	-5.284233e-01
5.456239376549742e-01	-5.654934e-01
5.486931340835456e-01	-6.023601e-01
5.517623305121171e-01	-6.390235e-01
5.548315269406885e-01	-6.754835e-01
5.587377769406885e-01	-7.214784e-01
5.606909019406885e-01	-7.443146e-01
5.626440269406885e-01	-7.670387e-01
5.645971519406885e-01	-7.896473e-01
5.665502769406885e-01	-8.121369e-01
5.685034019406885e-01	-8.345043e-01
5.704565269406885e-01	-8.567460e-01
5.724096519406885e-01	-8.788586e-01
5.743627769406885e-01	-9.008389e-01
5.763159019406885e-01	-9.226836e-01
5.782690269406885e-01	-9.443893e-01
5.802221519406885e-01	-9.659528e-01
5.821752769406885e-01	-9.873707e-01
5.841284019406885e-01	-1.008640e+00
5.860815269406885e-01	-1.029757e+00
5.880346519406885e-01	-1.050720e+00
5.899877769406885e-01	-1.071524e+00
5.919409019406885e-01	-1.092167e+00
5.938940269406885e-01	-1.112645e+00
5.958471519406885e-01	-1.132956e+00
5.978002769406885e-01	-1.153096e+00
5.997534019406885e-01	-1.173062e+00
6.017065269406885e-01	-1.192852e+00
6.036596519406885e-01	-1.212462e+00
6.056127769406885e-01	-1.231889e+00
6.075659019406885e-01	-1.251132e+00
6.095190269406885e-01	-1.270185e+00
6.114721519406885e-01	-1.289047e+00
6.134252769406885e-01	-1.307716e+00
6.153784019406885e-01	-1.326187e+00
6.173315269406885e-01	-1.344458e+00
6.192846519406885e-01	-1.362527e+00
6.212377769406885e-01	-1.380391e+00
6.231909019406885e-01	-1.398047e+00
6.251440269406885e-01	-1.415493e+00
6.270971519406885e-01	-1.432725e+00
6.290502769406885e-01	-1.449742e+00
6.310034019406885e-01	-1.466540e+00
6.329565269406885e-01	-1.483117e+00
6.349096519406885e-01	-1.499471e+00
6.368627769406885e-01	-1.515599e+00
6.388159019406885e-01	-1.531499e+00
6.407690269406885e-01	-1.547168e+00
6.427221519406885e-01	-1.562605e+00
6.446752769406885e-01	-1.577806e+00
6.485815269406885e-01	-1.607493e+00
6.544409019406885e-01	-1.650202e+00
6.575100983692599e-01	-1.671703e+00
6.605792947978314e-01	-1.692564e+00
6.636484912264028e-01	-1.712784e+00
6.667176876549742e-01	-1.732364e+00
6.697868840835456e-01	-1.751303e+00
6.728560805121171e-01	-1.769603e+00
6.759252769406885e-01	-1.787262e+00
6.829007233692599e-01	-1.825010e+00
