time	voltage
0.000000000000000e+00	0.000000e+00
3.647807420098357e-03	-4.924408e-05
7.295614840196714e-03	-5.823800e-05
1.094342226029507e-02	-2.698175e-05
1.459122968039343e-02	4.452467e-05
1.823903710049178e-02	1.562812e-04
2.188684452059014e-02	3.082880e-04
2.553465194068849e-02	5.005449e-04
2.776679479783135e-02	2.380190e-04
2.999893765497421e-02	7.602150e-04
3.223108051211707e-02	2.067133e-03
3.446322336925992e-02	4.158773e-03
3.669536622640278e-02	7.035134e-03
3.892750908354564e-02	1.069622e-02
4.115965194068849e-02	1.514202e-02
4.506590194068849e-02	2.875075e-02
4.897215194068849e-02	4.838476e-02
5.483152694068849e-02	8.727622e-02
5.901679479783135e-02	1.213523e-01
6.320206265497420e-02	1.565084e-01
6.738733051211707e-02	1.927444e-01
7.157259836925993e-02	2.300605e-01
7.575786622640279e-02	2.684565e-01
7.994313408354564e-02	3.079326e-01
8.412840194068849e-02	3.484886e-01
9.528911622640278e-02	4.559644e-01
1.064498305121171e-01	5.581376e-01
1.176105447978314e-01	6.550082e-01
1.287712590835456e-01	7.465762e-01
1.399319733692599e-01	8.328415e-01
1.510926876549742e-01	9.138043e-01
1.622534019406885e-01	9.894645e-01
1.895971519406885e-01	1.137107e+00
2.169409019406885e-01	1.230433e+00
2.442846519406885e-01	1.269443e+00
2.716284019406885e-01	1.254136e+00
2.989721519406885e-01	1.184513e+00
3.263159019406885e-01	1.060573e+00
3.536596519406885e-01	8.823170e-01
3.634252769406885e-01	8.076568e-01
3.731909019406885e-01	7.297007e-01
3.829565269406885e-01	6.484487e-01
3.927221519406885e-01	5.639008e-01
4.024877769406885e-01	4.760570e-01
4.122534019406885e-01	3.849173e-01
4.220190269406885e-01	2.904817e-01
4.256462590835456e-01	2.555397e-01
4.292734912264028e-01	2.218069e-01
4.329007233692599e-01	1.892833e-01
4.365279555121171e-01	1.579690e-01
4.401551876549742e-01	1.278639e-01
4.437824197978313e-01	9.896796e-02
4.474096519406885e-01	7.128128e-02
4.532690269406885e-01	3.640988e-02
4.571752769406885e-01	2.020010e-02
4.610815269406885e-01	9.937853e-03
4.669409019406885e-01	2.876356e-03
4.705681340835456e-01	1.784737e-03
4.741953662264028e-01	9.202574e-04
4.778225983692599e-01	2.829188e-04
4.814498305121171e-01	-1.272793e-04
4.850770626549742e-01	-3.103369e-04
4.887042947978313e-01	-2.662539e-04
4.923315269406885e-01	4.969537e-06
4.948426876549742e-01	1.974936e-06
4.973538483692599e-01	2.091484e-07
4.998650090835456e-01	-3.278255e-07
5.023761697978314e-01	3.640141e-07
5.048873305121171e-01	2.284667e-06
5.073984912264028e-01	5.434134e-06
5.099096519406885e-01	9.812415e-06
5.132578662264028e-01	-2.529396e-04
5.166060805121171e-01	-2.824775e-04
5.199542947978314e-01	-7.880129e-05
5.233025090835456e-01	3.580890e-04
5.266507233692599e-01	1.028194e-03
5.299989376549742e-01	1.931512e-03
5.333471519406885e-01	3.068045e-03
5.392065269406885e-01	1.051292e-02
5.431127769406885e-01	2.118671e-02
5.470190269406885e-01	3.784218e-02
5.528784019406885e-01	7.326367e-02
5.587377769406885e-01	1.176881e-01
5.640391162264028e-01	1.642779e-01
5.693404555121171e-01	2.115708e-01
5.746417947978314e-01	2.595669e-01
5.799431340835457e-01	3.082661e-01
5.852444733692599e-01	3.576683e-01
5.905458126549742e-01	4.077737e-01
5.958471519406885e-01	4.585821e-01
6.084029555121171e-01	5.760087e-01
6.209587590835457e-01	6.852677e-01
6.335145626549742e-01	7.863592e-01
6.460703662264028e-01	8.792832e-01
6.586261697978314e-01	9.640396e-01
6.711819733692599e-01	1.040628e+00
6.837377769406885e-01	1.109050e+00
7.077333126549742e-01	1.204602e+00
7.317288483692599e-01	1.258171e+00
7.557243840835457e-01	1.269757e+00
7.797199197978314e-01	1.239359e+00
8.037154555121171e-01	1.166977e+00
8.277109912264028e-01	1.052612e+00
8.517065269406885e-01	8.962640e-01
8.617511697978314e-01	8.203992e-01
8.717958126549742e-01	7.409759e-01
8.818404555121171e-01	6.579940e-01
8.918850983692599e-01	5.714537e-01
9.019297412264028e-01	4.813549e-01
9.119743840835457e-01	3.876976e-01
9.220190269406885e-01	2.904817e-01
9.256462590835456e-01	2.555397e-01
9.292734912264028e-01	2.218069e-01
9.329007233692599e-01	1.892833e-01
9.365279555121171e-01	1.579690e-01
9.401551876549742e-01	1.278639e-01
9.437824197978314e-01	9.896796e-02
9.474096519406885e-01	7.128128e-02
9.532690269406885e-01	3.640988e-02
9.571752769406885e-01	2.020010e-02
9.610815269406885e-01	9.937853e-03
9.669409019406885e-01	2.876356e-03
9.705681340835456e-01	1.784737e-03
9.741953662264028e-01	9.202574e-04
9.778225983692599e-01	2.829188e-04
9.814498305121171e-01	-1.272793e-04
9.850770626549742e-01	-3.103369e-04
9.887042947978314e-01	-2.662539e-04
9.923315269406885e-01	4.969537e-06
9.948426876549742e-01	1.974936e-06
9.973538483692599e-01	2.091484e-07
9.998650090835456e-01	-3.278255e-07
1.002376169797831e+00	3.640141e-07
1.004887330512117e+00	2.284667e-06
1.007398491226403e+00	5.434134e-06
1.009909651940688e+00	9.812415e-06
1.013257866226403e+00	-2.529396e-04
1.016606080512117e+00	-2.824775e-04
1.019954294797831e+00	-7.880129e-05
1.023302509083546e+00	3.580890e-04
1.026650723369260e+00	1.028194e-03
1.029998937654974e+00	1.931512e-03
1.033347151940688e+00	3.068045e-03
1.039206526940688e+00	1.051292e-02
1.043112776940688e+00	2.118671e-02
1.047019026940688e+00	3.784218e-02
1.052878401940688e+00	7.326367e-02
1.058737776940688e+00	1.176881e-01
1.064039116226403e+00	1.642779e-01
1.069340455512117e+00	2.115708e-01
1.074641794797831e+00	2.595669e-01
1.079943134083546e+00	3.082661e-01
1.085244473369260e+00	3.576683e-01
1.090545812654974e+00	4.077737e-01
1.095847151940688e+00	4.585821e-01
1.108402955512117e+00	5.760087e-01
1.120958759083546e+00	6.852677e-01
1.133514562654974e+00	7.863592e-01
1.146070366226403e+00	8.792832e-01
1.158626169797831e+00	9.640396e-01
1.171181973369260e+00	1.040628e+00
1.183737776940688e+00	1.109050e+00
1.207733312654974e+00	1.204602e+00
1.231728848369260e+00	1.258171e+00
1.255724384083546e+00	1.269757e+00
1.279719919797831e+00	1.239359e+00
1.303715455512117e+00	1.166977e+00
1.327710991226403e+00	1.052612e+00
1.351706526940688e+00	8.962640e-01
1.361751169797831e+00	8.203992e-01
1.371795812654974e+00	7.409759e-01
1.381840455512117e+00	6.579940e-01
1.391885098369260e+00	5.714537e-01
1.401929741226403e+00	4.813549e-01
1.411974384083546e+00	3.876976e-01
1.422019026940688e+00	2.904817e-01
1.425646259083546e+00	2.555397e-01
1.429273491226403e+00	2.218069e-01
1.432900723369260e+00	1.892833e-01
1.436527955512117e+00	1.579690e-01
1.440155187654974e+00	1.278639e-01
1.443782419797831e+00	9.896796e-02
1.447409651940688e+00	7.128128e-02
1.453269026940688e+00	3.640988e-02
1.457175276940688e+00	2.020010e-02
1.461081526940688e+00	9.937853e-03
1.466940901940688e+00	2.876356e-03
1.470568134083546e+00	1.784737e-03
1.474195366226403e+00	9.202574e-04
1.477822598369260e+00	2.829188e-04
1.481449830512117e+00	-1.272793e-04
1.485077062654974e+00	-3.103369e-04
1.488704294797831e+00	-2.662539e-04
1.492331526940688e+00	4.969537e-06
1.494842687654974e+00	1.974936e-06
1.497353848369260e+00	2.091484e-07
1.499865009083546e+00	-3.278255e-07
1.502376169797831e+00	3.640141e-07
1.504887330512117e+00	2.284667e-06
1.507398491226403e+00	5.434134e-06
1.509909651940688e+00	9.812415e-06
1.513257866226403e+00	-2.529396e-04
1.516606080512117e+00	-2.824775e-04
1.519954294797831e+00	-7.880129e-05
1.523302509083546e+00	3.580890e-04
1.526650723369260e+00	1.028194e-03
1.529998937654974e+00	1.931512e-03
1.533347151940688e+00	3.068045e-03
1.539206526940688e+00	1.051292e-02
1.543112776940688e+00	2.118671e-02
1.547019026940688e+00	3.784218e-02
1.552878401940688e+00	7.326367e-02
1.558737776940688e+00	1.176881e-01
1.564039116226403e+00	1.642779e-01
1.569340455512117e+00	2.115708e-01
1.574641794797831e+00	2.595669e-01
1.579943134083546e+00	3.082661e-01
1.585244473369260e+00	3.576683e-01
1.590545812654974e+00	4.077737e-01
1.595847151940688e+00	4.585821e-01
1.608402955512117e+00	5.760087e-01
1.620958759083546e+00	6.852677e-01
1.633514562654974e+00	7.863592e-01
1.646070366226403e+00	8.792832e-01
1.658626169797831e+00	9.640396e-01
1.671181973369260e+00	1.040628e+00
1.683737776940688e+00	1.109050e+00
1.707733312654974e+00	1.204602e+00
1.731728848369260e+00	1.258171e+00
1.755724384083546e+00	1.269757e+00
