Vce Ic1 Ic2 Ic3
6.000000000000000e+00 1.525951e-02 2.977263e-02 4.335778e-02
7.000000000000000e+00 1.540433e-02 3.005525e-02 4.376942e-02
8.000000000000000e+00 1.554915e-02 3.033787e-02 4.418105e-02
9.000000000000000e+00 1.569396e-02 3.062048e-02 4.459267e-02
1.000000000000000e+01 1.583878e-02 3.090309e-02 4.500429e-02
1.100000000000000e+01 1.598359e-02 3.118569e-02 4.541591e-02
1.200000000000000e+01 1.612840e-02 3.146829e-02 4.582752e-02
