Freq    Mag Phase
10    4.145438825829266    -106.92658278493128
12.700082396982785    5.153327750043507    -105.83855325734373
16.1292092890152    6.1607693545468445    -107.01023183788669
20.484228696867305    6.912441271274796    -112.42093035731486
26.01513922888541    7.21092921523957    -120.57677180260535
33.03944117758239    7.308580419492568    -128.2391298547687
41.96036253055621    7.341807254550544    -133.89743569585667
53.290006154533295    7.346750413578604    -137.2877099240313
67.67874690982926    7.35237710838112    -139.03250140056352
85.95256622793755    7.337355453978033    -140.70560113786115
109.16046733269268    7.3149935016220935    -141.2952629486928
138.6346929618344    7.278458357051875    -142.39879989984536
176.06720236957054    7.234759297825681    -143.61695761007545
223.60679774997897    7.177374917284326    -145.42231769592507
283.9824755950196    7.102334252495013    -147.97197545331113
360.66008393559    6.997163736434502    -150.7135323833574
458.0412783284723    6.883103098048695    -154.0078094229986
581.7161975990927    6.767836267885712    -157.23160607729181
738.7843641167992    6.681171971502704    -160.4284974708618
938.2622297885877    6.608289839568311    -163.38149002657156
1191.6007628291866    6.552583806839917    -166.05054323690433
1513.3427872238203    6.514509805004893    -168.37198673583634
1921.9578092622096    6.491645270945024    -170.30191905338845
2440.9022541154595    6.478564003548654    -171.969014959458
3099.9659750247333    6.482500400812209    -173.33056892781377
3936.9823310657175    6.501261723661676    -174.49826658240622
4999.999999999999    6.5337642952957316    -175.58172443081764
